"metabolite","AIC","Estimate","Std. Error","z value","Pr(>|z|)","qOrFDR"
"X288.2893_5.38","-730.7101321202","0.00150737942920189","0.000900205189518215","1.67448426953486","0.0940354634003746",0.291029463370502
"X244.2632_5.39","-735.285843866648","0.00121235816811187","0.00043494195831556","2.78740219225362","0.00531324905924173",0.0834376889303146
"X244.2632_5.49","-854.506433403122","0.0010873878132944","0.000345846805146353","3.14413143945121","0.0016658059987111",0.0663768034106998
"X171.0991_2.1","-418.016676977019","-0.000792986157937721","0.00066121525858645","-1.19928593244047","0.230416783195341",0.453025899654765
"X437.1931_5.94","-669.683979665925","0.00123348189134864","0.000775991732387631","1.58955545512497","0.111935044612305",0.316403059437449
"X132.102_0.47","-369.92602019576","-0.0274496390453036","0.0132184135026635","-2.07662130101864","0.0378365253225086",0.179768972039679
"X391.284_9.14","-731.872030404567","0.000433447612746126","0.000166128814479032","2.60910555526076","0.00907792354733171",0.104015878842391
"X496.3397_6.81","-259.907966696473","0.0383968500394995","0.0172275824746093","2.22880082542576","0.0258271600100533",0.147982646544089
"X104.1073_0.28","-310.061896907472","-0.00981569390264765","0.00857534939259857","-1.14464069663676","0.252358026697933",0.46720852112883
"X166.0863_0.63","-426.247666002331","-0.0308988599132651","0.0100688460170519","-3.0687588091959","0.00214950052986729",0.0663768034106998
"X226.9513_0.25","-519.519174080238","0.00856031135786526","0.00299086290493997","2.86215437816501","0.0042077190057046",0.0834376889303146
"X116.0708_0.3","-610.749262576702","-0.00263816090694778","0.00202793196030682","-1.30091194309529","0.193288597604892",0.411830981831529
"X162.1124_0.3","-572.090276814329","0.00626274442222781","0.00235018430051042","2.66478863843472","0.00770367243878561",0.102073659813909
"X148.0604_0.3","-721.72325518224","-0.00134398415851637","0.00115595847143352","-1.16265782182441","0.244968360820306",0.46720852112883
"X140.0682_0.29","-619.640710318882","0.0042306566709849","0.00163829309479307","2.58235640767274","0.00981281875871613",0.104015878842391
"X175.119_0.3","-572.319637195971","0.00222430626974185","0.00129641630701343","1.71573456590191","0.0862106352023747",0.279032895616846
"X114.0664_0.29","-709.488593109846","-0.000199077252952083","0.000836499466095473","-0.237988499719331","0.811890013876906",0.878166749703592
"X86.0969_0.45","-240.481257702349","-0.0062404370365539","0.00447182201361031","-1.39550210575481","0.162864480234004",0.375296410974009
"X120.081_0.63","-641.272266699906","-0.00861837481592456","0.00285115817208603","-3.02276278471741","0.00250478503436603",0.0663768034106998
"X90.0554_0.3","-773.207756129053","-0.0008308136254519","0.00091539655415769","-0.907599686363665","0.364089760088156",0.576022605512605
"X182.0812_0.45","-687.004542901568","-0.00414888453174481","0.00157660482609633","-2.63153103623147","0.00850011030330722",0.104015878842391
"X415.2111_5.94","-795.339674073818","0.00056273410075446","0.000584099212907385","0.963422117885454","0.335335731090831",0.552009383956139
"X304.2842_5.53","-935.563355208055","0.000316866965414297","0.000202508390666451","1.5647103034669","0.117650851470979",0.319768980921122
"X203.0527_0.29","-558.907203961587","0.00709534774746667","0.00310201674370376","2.28733380046006","0.0221763470379579",0.1442916332954
"X156.0421_0.28","-677.736377767028","0.00207023175530635","0.00102466480061388","2.02039901640621","0.0433420153759209",0.189430402362649
"X136.0482_0.29","-948.154868939632","0.000155148982919818","0.000151424110748515","1.02459893707079","0.305552466268924",0.518216982792095
"X147.0764_0.3","-650.634999694898","0.00220412137786424","0.00123045160552489","1.7913109040351","0.0732434172998707",0.250445233347945
"X288.2893_5.47","-852.037075306626","0.00096693320966905","0.00042220942468954","2.29017438533035","0.0220112096678479",0.1442916332954
"X130.05_0.29","-477.641413087804","0.000426058028038274","0.000886508765548749","0.480602160515067","0.63079927963064",0.765039862388342
"X272.2945_6.05","-852.763358589708","0.00023657871534046","0.000109904141565722","2.15259144896725","0.0313508011682369",0.168262527789018
"X173.0784_0.54","-396.703697008191","4.210419586304e-05","0.000173736656391573","0.242344918669001","0.80851291082702",0.876750573377638
"X524.3712_7.63","-338.570874219695","0.01928535520143","0.0106537980525708","1.81018591738524","0.0702669607344426",0.24356274919403
"X362.9259_0.25","-758.994743027437","0.00135792688002463","0.000580173116213431","2.34055464149615","0.0192551205800565",0.140761571136965
"X294.9385_0.25","-796.783821395598","0.00122172646563932","0.000491055838294942","2.48795833459884","0.0128478784039045",0.111173478433786
"X132.0769_0.3","-486.191524933895","-0.0052908067920542","0.00554986308571298","-0.953322038821881","0.340426928409205",0.557301226430513
"X316.3206_5.96","-798.622524492733","0.000327381336100279","0.00025225728531981","1.29780725930364","0.194353574505074",0.412029577950757
"X432.2377_5.94","-791.905826604296","0.000207929305556046","0.00027767824427375","0.748813815428254","0.453969431615262",0.654704214302283
"X106.0502_0.29","-607.875011936423","1.97275040748453e-05","0.000239326347425935","0.0824293032799095","0.934305334684691",0.952635396793266
"X204.123_0.39","-549.715512088336","0.00478209680842732","0.00219264411947892","2.18097262840984","0.0291854410650026",0.160709441708586
"X272.2945_5.96","-926.481166057778","0.000364531596148579","0.000120240080064749","3.03169788270501","0.00243182466176901",0.0663768034106998
"X130.05_0.42","-732.911177336643","0.000329427201312441","0.000828854188588762","0.397448919059378","0.691036447620645",0.79836363430832
"X225.0346_0.3","-774.55621000618","0.000701603528138504","0.000394773277895966","1.77723155903018","0.0755301490137794",0.254164945887639
"X255.6452_7.9","-595.001875116711","6.32190049562312e-05","6.05941633740915e-05","1.04331838969266","0.296800856760823",0.509488110391048
"X129.0659_0.31","-292.570664900982","0.000307541902699212","7.06102747808472e-05","4.35548372604027","1.32773381597256e-05",0.00281479568986183
"X230.9823_0.4","-510.733486595714","0.000621545115315447","0.000384226235866533","1.61765402071958","0.105737180130628",0.311337252606849
"X343.295_5.34","-491.907288630586","8.03372683759026e-05","0.000166858565902184","0.481469248770829","0.630183030253441",0.765039862388342
"X242.9252_0.25","-700.753094801059","0.00282140893012516","0.00102990642486745","2.73948085185339","0.00615362992232676",0.0893718341688848
"X158.9641_0.25","-726.158111955272","0.00206671410061987","0.000791539271249711","2.6110063968865","0.00902762051041886",0.104015878842391
"X80.9484_0.29","-598.500483732903","0.00255036524930502","0.00119456866263297","2.13496748163786","0.0327636664258453",0.172015629066136
"X430.9134_0.25","-789.183649945604","0.000921415724742109","0.000444452458568993","2.07314799812065","0.0381585082159696",0.179768972039679
"X205.0972_1.13","-560.230198398272","-0.000160914421029591","0.00196280536481919","-0.081981853073045","0.934661144023582",0.952635396793266
"X184.0944_0.28","-564.298738055306","0.00118074970362364","0.0006972710710431","1.69338690884919","0.090381845070863",0.284669160383198
"X520.3399_6.55","-450.79779022148","0.000895789424057691","0.00321852756252638","0.278322744377725","0.780764618116353",0.866919383540164
"X82.9454_0.29","-784.080152711311","0.000693005200124129","0.0004170405620877","1.66172133630109","0.0965686610403336",0.295321999891445
"X518.3217_6.81","-755.714729899961","0.00148491613811881","0.000665353690563292","2.23176959740265","0.0256301946816737",0.147982646544089
"X522.3555_6.98","-516.999572319113","0.00109627486261127","0.00250845740220144","0.437031484628429","0.662088514813644",0.778003180943198
"X188.0706_1.13","-699.379869236455","-0.000224609932786614","0.000855179245997935","-0.262646613371106","0.792822968694876",0.871551397092734
"X244.1904_4.84","-916.270959425463","0.000312688978188604","0.000184799556047916","1.69204399012478","0.0906375864427635",0.284669160383198
"X271.0398_0.27","-767.584612794255","0.000350027796061121","0.000222986560297131","1.56972597628623","0.116478875253683",0.318626084564913
"X144.1019_0.32","-643.212860197915","0.00126728465759134","0.00147560291496628","0.858824989255527","0.390437078526143",0.593352406075572
"X149.0598_3.9","-294.162060855646","0.00105354995371767","0.000721422611426266","1.46037833723395","0.144186123059962",0.357514129692537
"X192.0244_0.28","-336.289255697033","8.26127705946843e-05","6.1483424083195e-05","1.34365923542089","0.179058605042068",0.395421086134567
"X453.1671_5.94","-451.290286708011","2.20128545723717e-05","0.000156497970202581","0.140659042055798","0.888139303024238",0.917375944195328
"X169.0356_0.41","-187.582522229553","-0.00189253378945908","0.000844733699317611","-2.24039101433729","0.0250655491277214",0.147608233752137
"X156.0768_0.32","-209.050201852491","-0.000695943844276988","0.000411024873440115","-1.69319155420502","0.090419011690406",0.284669160383198
"X123.0554_0.41","-763.234876802363","-0.00180852790731491","0.000974521420576676","-1.8558113440387","0.0634804530663361",0.234199245326314
"X544.3403_6.54","-597.213884571743","0.00138607454855827","0.000971851177291134","1.42622099035956","0.153804562535321",0.366365924241439
"X150.0583_0.4","-568.122328619208","-0.000700199907311579","0.00200682980988599","-0.348908464416002","0.727158030366429",0.828803776546683
"X286.2737_5.6","-947.684427022844","0.000115061129000248","4.71408936935596e-05","2.44079227152979","0.0146550818733882",0.117908089865729
"X507.2717_7.58","-525.114601965015","0.000155858145577305","0.00021759270246906","0.716283881806501","0.473816077276918",0.674796895473797
"X136.0757_0.43","-445.003068957269","-0.000256392778489192","0.000163209500224789","-1.57094273394662","0.116195951146598",0.318626084564913
"X165.0546_0.45","-1018.46852681929","-0.000527002375028439","0.000186978777823426","-2.81851438523208","0.00482464490967598",0.0834376889303146
"X226.18_4.84","-609.128289248055","0.000259662170345091","0.000140163657785766","1.85256416996461","0.0639448520125895",0.234199245326314
"X197.101_0.26","-812.702200100991","0.000180740771022325","9.20698469680464e-05","1.96308321317241","0.0496365057769254",0.202364215859773
"X288.1598_6.8","-772.038039453679","8.32702304333262e-05","8.01016645907798e-05","1.03955680395325","0.29854585434441",0.510417105814637
"X76.0399_0.68","-343.596181100735","7.88207116079189e-05","8.07809385821022e-05","0.975734040621588","0.329196278620123",0.545231336464579
"X102.0917_0.32","-651.311020008224","4.61458160545881e-05","0.000112131941802014","0.411531409453923","0.680682914773519",0.790711111956088
"X83.0221_0.29","-868.980439382276","-0.000437151323313286","0.000168568500293042","-2.59331561088421","0.00950554950568305",0.104015878842391
"X104.071_0.3","-973.367228269005","-0.000310928118828615","0.000171253730362553","-1.81559910064653","0.0694318916840629",0.24356274919403
"X991.6712_6.81","-643.856631631484","0.000414802572698188","0.000794079564172386","0.522369031282788","0.601413413931231",0.749997904431888
"X103.0546_0.63","-972.299908719054","-0.000859148482627173","0.000280703990898225","-3.0606920830658","0.00220826064831231",0.0663768034106998
"X546.3532_7.64","-726.762087464427","0.000964317898418612","0.000496962379442627","1.94042434258334","0.0523281406061376",0.20931256242455
"X542.3219_6.56","-839.905345211628","0.000613924251257431","0.000251738151557223","2.43874139640641","0.0147385112332161",0.117908089865729
"X256.8205_0.3","-719.947891360466","0.000137861007492023","0.000119306832764858","1.15551644693924","0.247879001446634",0.46720852112883
"X482.3603_7.11","-837.998724328254","8.33381107869638e-05","0.000170412777301053","0.489036750100832","0.624815679074681",0.76346353869644
"X254.8234_0.3","-746.51699377023","0.000101798033690182","8.88951671226396e-05","1.14514699713361","0.252148270047635",0.46720852112883
"X221.1858_0.29","-648.789988779964","-0.00259602573032171","0.000918936663248576","-2.82503227278404","0.00472758540712847",0.0834376889303146
"X229.1544_0.53","-794.6092705321","-0.000602923643524163","0.000214498874227829","-2.8108475892688","0.00494111856842009",0.0834376889303146
"X229.1545_0.42","-662.691983689467","-0.000545454385166682","0.000210729416998448","-2.5884112096732","0.00964198010487276",0.104015878842391
"X196.8652_0.3","-755.856163417881","9.99603889375203e-05","9.41905393979753e-05","1.06125720880699","0.288573026763143",0.503518367685484
"X518.3217_6.7","-797.263663331993","0.000264625437086129","0.000156838617968417","1.68724667759708","0.0915559293874817",0.285439073972737
"X468.3083_6.12","-856.596382485093","2.61200874500761e-05","5.76837138133732e-05","0.452815634142137","0.650681504846279",0.777151994520626
"X494.324_6.31","-754.483355451047","0.00039684031401906","0.000501281676378926","0.79165134637613","0.428563998785193",0.636089391349694
"X478.2927_6.32","-784.960453325466","-0.000107011865735584","0.000156482417665352","-0.683858719287149","0.494064383343416",0.684585942933361
"X76.0763_0.3","-787.807234853339","-0.000338442374995963","0.000387843960352123","-0.872625100797473","0.382867454442524",0.590312002485928
"X96.9222_0.28","-786.837248013612","0.000532120509752146","0.000289680342140508","1.83692309191641","0.0662212497920818",0.239019920866711
"X153.0658_0.57","-730.413853487138","-0.00144237580680216","0.000585458709013089","-2.46366786350071","0.013752348203844",0.115666734392929
"X510.3555_7.2","-768.988451940627","0.000421632016244766","0.000384846888481058","1.09558379933613","0.273260954657217",0.480757862135519
"X454.2925_6.51","-925.863502943149","2.92298721881794e-05","8.64927730187957e-05","0.337945832559068","0.735404007926331",0.835955226168269
"X482.324_6.45","-858.33611594024","0.000140654397501291","0.000121906873012168","1.15378562361493","0.248588069613221",0.46720852112883
"X566.3211_6.53","-718.310384314287","0.000213661181581513","6.17511525654787e-05","3.46003552492327","0.00054010412779708",0.0327148785979946
"X524.2994_6.81","-501.585208573141","0.000254797867023762","0.000174463393664921","1.46046607068261","0.144162025866832",0.357514129692537
"X508.3762_7.28","-739.7784852019","0.000108497033853164","8.02615607644489e-05","1.35179322230701","0.176441472944163",0.393618701836657
"X219.0828_0.26","-596.008095786501","0.000127993119127254","6.67663196964494e-05","1.91703121737382","0.0552339658435764",0.217579995763026
"X146.1176_0.31","-940.167273805327","0.000417552643286765","0.000151219208871712","2.76124076036529","0.00575822104364538",0.0871959186609157
"X261.1442_1.23","-845.213846569182","-0.000590632495317918","0.000234717177048063","-2.51635820925443","0.0118574600522724",0.111173478433786
"X482.3241_7.15","-799.500999810244","-7.304965696868e-05","0.000107989341662943","-0.676452470621432","0.498753412980523",0.687739499489605
"X219.0265_0.28","-878.398822859491","0.000957408228294719","0.000310046435904198","3.08795108546434","0.00201541641301377",0.0663768034106998
"X320.1672_7.63","-854.441266449707","0.000229317056988323","0.000142765084841039","1.6062544791232","0.108218007679845",0.314909129036846
"X446.8874_0.25","-865.324754394269","0.000443869060350876","0.000200576106930784","2.21297076278407","0.0268996614140097",0.152072752527202
"X279.6466_6.55","-891.298564033772","0.000185177125706383","0.000162440370257667","1.13996985732457","0.254298859249569",0.46720852112883
"X480.3084_6.68","-873.388335243859","6.67206804323231e-05","4.8512568683625e-05","1.37532771903798","0.169029866651417",0.384031609572858
"X191.0767_0.25","-926.728452766983","7.43798288770864e-05","5.83684309215556e-05","1.27431605925898","0.202551427353071",0.416901966979136
"X137.0458_0.44","-282.278213524503","-0.00153007233004566","0.00230977861883537","-0.6624324589242","0.50769410717736",0.689943273856412
"X169.0583_0.29","-944.829704088022","0.000668660601683871","0.000271867581501085","2.45950840476066","0.0139127439953759",0.115666734392929
"X106.9509_0.25","-978.139227753106","0.000472333467913865","0.0002055292845643","2.29813220493207","0.0215542658039454",0.1442916332954
"X107.0495_0.63","-607.267150353422","-0.000105599563699275","5.964535369394e-05","-1.77045749851936","0.0766509585590844",0.255905562433479
"X174.938_0.25","-1015.7791841536","0.000399454184251339","0.000152867225006678","2.61307931921895","0.00897304744851935",0.104015878842391
"X332.3155_6.09","-810.959953068814","0.000134750280898068","4.82215417909248e-05","2.79440009368237","0.00519961043025344",0.0834376889303146
"X289.6408_6.98","-634.189368249223","0.000123746906091147","7.27579305963656e-05","1.70080299256516","0.0889799871589859",0.284669160383198
"X167.0835_0.63","-454.827147750118","-8.18014501674091e-05","5.00166966923209e-05","-1.6354828602659","0.101947864830417",0.304407709071104
"X515.3131_6.81","-862.390343111343","3.27901712137013e-05","6.60096568819408e-05","0.496748093575869","0.619366702943348",0.760108623903551
"X159.0917_1.14","-734.650197734361","3.11653896276744e-05","2.52524382460559e-05","1.23415368147834","0.217145643346246",0.440525132912958
"X297.165_6.82","-876.464786002111","4.37358797112327e-05","6.3560197223625e-05","0.688101699202663","0.491388740520444",0.68311090485465
"X245.1857_2.65","-140.505434368407","-0.000362415555727087","0.00022576693148078","-1.60526412504278","0.108435690658914",0.314909129036846
"X164.93_0.31","-354.079325584231","-9.02853275716829e-05","0.000285662303800502","-0.316056148713046","0.751959890182974",0.850215982500216
"X1013.6534_6.82","-947.899266392441","9.80774590241307e-05","4.91830757713636e-05","1.99413024675524","0.0461378225375714",0.195624367559303
"X570.3552_6.73","-308.117213445857","-3.04872124541283e-06","6.63778625880469e-05","-0.0459297893385592","0.963366210766273",0.965774906383781
"X142.9481_0.35","-765.323359764429","-0.000137899188271748","0.000227153181720204","-0.607075750502166","0.543800642253443",0.715065888652129
"X176.103_0.3","-946.92376311534","0.000307749832551614","0.000185502885044306","1.65900294476881","0.0971151989128646",0.295321999891445
"X522.7955_6.81","-901.84637339269","5.14969760621814e-05","4.00244563012734e-05","1.28663774154861","0.198220582472263",0.416066965189305
"X320.9665_0.3","-670.650837158768","8.64045427815249e-05","6.7657296628697e-05","1.27709126859905","0.201570027090878",0.416901966979136
"X288.1599_6.7","-792.438564820348","-3.89069917713694e-06","5.42657250328826e-05","-0.0716971748701292","0.942842904505287",0.958423362771497
"X297.146_6.81","-359.8424472474","0.000206756531053643","0.000144380758704459","1.4320227494916","0.152137310772312",0.365090822441563
"X383.1156_0.29","-563.078618369844","0.000175270168933103","0.00015468711115701","1.13306252616743","0.257187996806083",0.46720852112883
"X276.6519_6.82","-723.774605814398","2.51555394258515e-05","3.39071510413877e-05","0.741894811367259","0.458151069766696",0.656455432734652
"X118.0653_1.14","-579.594440210389","2.50878763412897e-05","2.69746815272199e-05","0.930052735413158","0.352343780814893",0.568037121922109
"X316.3206_6.02","-872.202393987643","0.000183523342418651","9.58067033886224e-05","1.91555847271169","0.0554213196754878",0.217579995763026
"X400.3417_6.6","-828.865791975984","-0.00067047116173824","0.000191879262659351","-3.49423461631989","0.000475423015799461",0.0327148785979946
"X304.6469_6.82","-493.376887242554","3.77276522209125e-05","4.20622595650877e-05","0.896947824748507","0.369746758750612",0.578496773838596
"X426.3574_6.75","-625.703721665454","-0.000471342832667172","0.000179757493879939","-2.62210393844267","0.00873887749975089",0.104015878842391
"X344.2274_2.68","-307.085713328535","6.12723982591003e-05","8.11358689726882e-05","0.755182621877454","0.450139414262197",0.652778655004684
"X432.28_3.08","-419.351261842703","4.44143829508612e-05","3.71035531216405e-05","1.19703853712481","0.23129153444141",0.453025899654765
"X280.0917_0.27","-748.752481872765","0.00137706610533102","0.000743689157525992","1.85166892833569","0.0640733784383313",0.234199245326314
"X514.8752_0.25","-703.170230534409","0.000206527607790631","0.000134225467441893","1.53866186295859","0.123886867332995",0.332455897146771
"X209.092_0.65","-714.842754289376","-9.8133289529924e-05","0.000225234634196652","-0.435693604049561","0.663059046872272",0.778003180943198
"X191.0403_0.28","-991.425707431327","0.000599818888247818","0.000212213181324002","2.82649213637691","0.00470608995185859",0.0834376889303146
"X287.1286_6.55","-936.017381003912","9.34501551262127e-05","4.31928630042838e-05","2.16355547250814","0.0304984820240246",0.165786620233159
"X131.0493_0.63","-697.913544907612","-0.000149760604822528","7.20116596912472e-05","-2.0796716179662","0.0375556630651423",0.179768972039679
"X200.0684_0.28","-501.691822066622","0.000507214538141619","0.000359775869626602","1.40980699641707","0.158596680182082",0.369477980204411
"X536.3348_5.44","-678.763690598406","8.10426838041969e-05","0.000210616346850022","0.384788194346124","0.700394346502565",0.804789167796985
"X211.0965_3.9","-375.797157019448","0.000461558005026954","0.00027912286478476","1.65360156138722","0.0982084952469193",0.295321999891445
"X146.0812_0.68","-364.423578292781","0.000373601512910222","0.000337430657295851","1.10719492977977","0.26820965919754",0.477818888654441
"X287.6322_6.55","-793.271355556029","2.30997902122386e-05","2.96333731948718e-05","0.779519431025698","0.435673795915403",0.639189236913948
"X159.0277_0.42","-400.725694480685","0.000738028403744361","0.00039316475727891","1.87714791338941","0.0604978240602489",0.22700068496943
"X291.6465_6.53","-520.435028798279","0.000149459979902643","5.980875290632e-05","2.49896499491882","0.0124556613880715",0.111173478433786
"X294.1544_0.47","-817.174775250512","0.000449269262055989","0.000404216995815291","1.11145564562378","0.266372271727418",0.476547861655803
