"metabolite","AIC","Estimate","Std..Error","z.value","Pr...z..","qOrFDR"
"X80.9484_0.29",-1392.63436925477,0.000666680788772496,0.000162785977028822,4.09544360602054,4.21360789207099e-05,0.0141811559022765
"X244.1904_4.84",-2175.76232379358,-0.000135820769386444,3.32331310756655e-05,-4.08690860566843,4.37159229503651e-05,0.0141811559022765
"X353.2294_4.84",-1958.10813336537,-0.000280860389286845,7.01257789071904e-05,-4.00509475493394,6.19926262316066e-05,0.0141811559022765
"X308.2216_4.36",-2287.00713367786,-3.40570698095191e-05,8.60015727648712e-06,-3.96005197516926,7.49334525879868e-05,0.0141811559022765
"X280.1289_1",-1393.79133774423,0.00161478715791382,0.000424047231801038,3.80803607903629,0.000140074839696036,0.0176727756083165
"X209.0784_2.87",-1427.06358074336,5.10432290830802e-05,1.33935260606338e-05,3.81103742599242,0.000138384811797177,0.0176727756083165
"X226.18_4.84",-2251.47912801819,-5.99816757263658e-05,1.60050414226913e-05,-3.74767388238846,0.000178482102186759,0.0193015644793395
"X204.123_0.39",-1575.64391568596,-0.00109780491448397,0.000297680939727151,-3.68785759508217,0.000226150148830824,0.0213994578331167
"X120.081_0.63",-1222.67315986232,-0.00284836491940547,0.000802990551450802,-3.54719605885673,0.000389354723012774,0.0265437339920126
"X103.0546_0.63",-1901.00406512388,-0.000276131882645384,7.75698939071743e-05,-3.55978162063523,0.000371163313787431,0.0265437339920126
"X218.1386_0.52",-1837.72257127407,-9.08993078411288e-05,2.5930856222695e-05,-3.50544953319254,0.000455836911355566,0.0265437339920126
"X348.274_4.84",-2276.04502038388,-8.79153435535201e-05,2.49645091860884e-05,-3.52161313880393,0.000428929592001691,0.0265437339920126
"X437.1779_5.02",-2056.18391633652,5.21222920035985e-05,1.48680568257033e-05,3.50565595858441,0.000455483563510703,0.0265437339920126
"X83.0221_0.29",-2080.86983816875,6.17975181418953e-05,1.79795501501792e-05,3.43710035155019,0.000587977714351841,0.0280290275523192
"X240.8388_0.27",-1485.82939258239,0.000109179765232065,3.15962150089072e-05,3.45546975171826,0.000549334825766061,0.0280290275523192
"X351.2138_5.65",-1854.74946042739,-7.16490069451608e-05,2.08581547984226e-05,-3.43505969907652,0.000592423303615729,0.0280290275523192
"X590.4005_7.07",-1907.14661839756,0.000105065755875329,3.07460507310054e-05,3.41721142642157,0.000632661260089446,0.0281720337581006
"X166.0863_0.63",-833.877715733122,-0.0096686878314473,0.00286581862174351,-3.37379614958502,0.000741392489417799,0.0311796730271819
"X656.4394_7.05",-1972.19045724363,0.000129756523374587,3.86528241553819e-05,3.35697393941963,0.000788005396207597,0.0313957939436395
"X722.4784_7.03",-2019.10008941923,0.000102282784453315,3.09109516121867e-05,3.30894971259927,0.000936466555603274,0.0342654350733286
"X183.0653_3.2",-1574.16130402527,0.000117749409341433,3.57715711237418e-05,3.29170359708584,0.000995825061576261,0.0342654350733286
"X834.6147_7.4",-2187.03087919191,3.67876888266641e-05,1.11417929786014e-05,3.301774579488,0.000960752483229831,0.0342654350733286
"X245.1381_3.59",-1969.55655722298,0.000114597566604371,3.53225270216038e-05,3.24431959622487,0.00117731568066848,0.0356491188106416
"X285.1305_3.59",-1788.03377953828,7.91827321436435e-05,2.42883717856284e-05,3.26010869903171,0.00111369522957836,0.0356491188106416
"X678.4513_7.04",-1970.28696480233,0.000123464491070437,3.79672609552394e-05,3.25186721307056,0.00114649570391711,0.0356491188106416
"X162.1124_0.3",-1618.19978545503,-0.000747550718442296,0.000234818479584712,-3.18352592932369,0.00145493081734596,0.0393350938832461
"X470.3504_7.38",-2352.17999605813,6.06745430841821e-05,1.90010007725556e-05,3.19322880991712,0.00140691417986348,0.0393350938832461
"X823.66_2.67",-2137.53396539132,-2.84225065478083e-05,8.89202145981161e-06,-3.19640552783939,0.00139151386445542,0.0393350938832461
"X203.0527_0.29",-1314.63043453598,0.000340639575272693,0.000108924427095695,3.12730196848706,0.00176418625239451,0.0418591273359519
"X219.0265_0.28",-1754.97781733581,0.000402957991436513,0.000129566470075343,3.11004838830751,0.00187056697607205,0.0418591273359519
"X612.4129_7.06",-1953.57912911142,0.000115889750369174,3.7200238441995e-05,3.11529590193022,0.00183760468139865,0.0418591273359519
"X277.2158_4.84",-2494.56438362837,-3.50305384381232e-05,1.12690860676928e-05,-3.10855185839354,0.0018800664853664,0.0418591273359519
"X516.8545_7.35",-2370.88566853536,3.14967000197705e-05,1.00209269973359e-05,3.1430924532375,0.0016717302939592,0.0418591273359519
"X395.2037_3.72",-683.426120933205,8.56233686480542e-05,2.71645303924928e-05,3.15202830348641,0.00162140555943239,0.0418591273359519
"X295.2263_4.84",-2034.58328069008,-0.000209094972866382,6.77277687947986e-05,-3.08728571141768,0.00201993348718172,0.0436882757084732
"X295.2264_6.01",-1877.38801491992,-0.000138532878189171,4.55002155795249e-05,-3.04466421586606,0.00232940222687337,0.04886747743628
"X492.3636_7.37",-2381.41098142702,4.75399580625948e-05,1.5652972824731e-05,3.03712007903597,0.00238850286016164,0.04886747743628
